sample_id,status,elapsed_sec,annual_file,n_years,notes,mean_GPP,mean_NEP,mean_ER,mean_NPP
195,success,4.4,sample_0195/LHP_20250919_annual.txt,10,,0.8884000000000001,0.034800000000000005,0.8535,0.1694
196,success,6.0,sample_0196/LHP_20250919_annual.txt,10,,0.8884000000000001,0.0347,0.8535,0.1694
197,success,6.0,sample_0197/LHP_20250919_annual.txt,10,,0.8884000000000001,0.052000000000000005,0.836,0.1694
198,success,6.5,sample_0198/LHP_20250919_annual.txt,10,,0.8884000000000001,0.052000000000000005,0.836,0.1694
199,success,7.0,sample_0199/LHP_20250919_annual.txt,10,,0.8884000000000001,0.052000000000000005,0.836,0.1694
200,success,6.9,sample_0200/LHP_20250919_annual.txt,10,,0.8202,0.07289999999999999,0.7473,0.2465
201,success,4.9,sample_0201/LHP_20250919_annual.txt,10,,0.8202,0.07289999999999999,0.7473,0.2465
202,success,6.9,sample_0202/LHP_20250919_annual.txt,10,,0.8201,0.0727,0.7471,0.2465
203,success,6.4,sample_0203/LHP_20250919_annual.txt,10,,0.8201,0.0727,0.7471,0.2465
204,success,6.4,sample_0204/LHP_20250919_annual.txt,10,,0.8202,0.0718,0.7482,0.2367
205,success,6.7,sample_0205/LHP_20250919_annual.txt,10,,0.8203999999999999,0.07189999999999999,0.7485,0.2367
206,success,4.6,sample_0206/LHP_20250919_annual.txt,10,,0.8203999999999999,0.07189999999999999,0.7485,0.2367
207,success,6.3,sample_0207/LHP_20250919_annual.txt,10,,0.8203999999999999,0.07189999999999999,0.7485,0.2367
208,success,6.8,sample_0208/LHP_20250919_annual.txt,10,,0.8205,0.07189999999999999,0.7484,0.2384
209,success,6.8,sample_0209/LHP_20250919_annual.txt,10,,0.6307,0.0705,0.5602,0.2203
210,success,6.6,sample_0210/LHP_20250919_annual.txt,10,,0.6296999999999999,0.0699,0.56,0.219
211,success,4.3,sample_0211/LHP_20250919_annual.txt,10,,0.6392,0.0715,0.5679,0.22280000000000003
212,success,6.3,sample_0212/LHP_20250919_annual.txt,10,,0.6392,0.0715,0.5679,0.22280000000000003
213,success,6.7,sample_0213/LHP_20250919_annual.txt,10,,0.6391,0.0713,0.5675999999999999,0.22290000000000001
214,success,6.8,sample_0214/LHP_20250919_annual.txt,10,,0.6392,0.07139999999999999,0.5677,0.22280000000000003
215,success,6.5,sample_0215/LHP_20250919_annual.txt,10,,0.6392,0.07139999999999999,0.5677,0.22280000000000003
216,success,4.6,sample_0216/LHP_20250919_annual.txt,10,,0.6379,0.0706,0.5673999999999999,0.221
217,success,6.6,sample_0217/LHP_20250919_annual.txt,10,,0.6379,0.0706,0.5673999999999999,0.221
218,success,6.9,sample_0218/LHP_20250919_annual.txt,10,,0.6851,0.0708,0.6143,0.2251
219,success,7.0,sample_0219/LHP_20250919_annual.txt,10,,0.6851,0.0708,0.6143,0.2251
220,success,6.3,sample_0220/LHP_20250919_annual.txt,10,,0.6851,0.05500000000000001,0.6299,0.2251
221,success,4.4,sample_0221/LHP_20250919_annual.txt,10,,0.6851,0.05500000000000001,0.6299,0.2251
222,success,6.6,sample_0222/LHP_20250919_annual.txt,10,,0.6851,0.05500000000000001,0.6299,0.2251
223,success,6.7,sample_0223/LHP_20250919_annual.txt,10,,0.6851,0.05500000000000001,0.6299,0.2251
224,success,6.4,sample_0224/LHP_20250919_annual.txt,10,,0.5801999999999999,0.0465,0.5336000000000001,0.1842
225,success,6.4,sample_0225/LHP_20250919_annual.txt,10,,0.5801999999999999,0.0465,0.5336000000000001,0.1842
226,success,4.3,sample_0226/LHP_20250919_annual.txt,10,,0.5801999999999999,0.0465,0.5336000000000001,0.1842
227,success,6.4,sample_0227/LHP_20250919_annual.txt,10,,0.5801999999999999,0.0465,0.5336000000000001,0.1842
228,success,7.0,sample_0228/LHP_20250919_annual.txt,10,,0.5801999999999999,0.0465,0.5336000000000001,0.1842
229,success,6.6,sample_0229/LHP_20250919_annual.txt,10,,0.5801999999999999,0.0465,0.5336000000000001,0.1842
230,success,6.5,sample_0230/LHP_20250919_annual.txt,10,,0.5801999999999999,0.0465,0.5336000000000001,0.1842
231,success,4.1,sample_0231/LHP_20250919_annual.txt,10,,0.5801999999999999,0.0465,0.5336000000000001,0.1842
232,success,5.7,sample_0232/LHP_20250919_annual.txt,10,,1.0276999999999998,-0.0726,1.1001,0.5196
233,success,5.8,sample_0233/LHP_20250919_annual.txt,10,,1.0276999999999998,-0.0726,1.1001,0.5196
234,success,6.1,sample_0234/LHP_20250919_annual.txt,10,,1.0277999999999998,-0.0727,1.1002,0.5198
235,success,5.8,sample_0235/LHP_20250919_annual.txt,10,,1.0277999999999998,-0.0727,1.1002,0.5198
