metric,name,mi
mean_NPP,tree_sla,1.4784421347458463
mean_NPP,tree_ctmp_lfshd,1.4499549705849941
mean_NPP,tree_dcd,1.4315821949061527
mean_NPP,tree_root_spt_a,1.4270265988497268
mean_NPP,over_ke_d,1.4121808510190972
mean_NPP,c3_gs_b0,1.4109193827619333
mean_NPP,over_acen_ko,1.4108560573735545
mean_NPP,c3_qtr0,1.4087526914370638
mean_NPP,c3_f_sz_s,1.4024848890990629
mean_NPP,tree_lc0,1.4003976271112963
mean_NPP,soil_f_hm_i,1.3994838039213287
mean_NPP,tree_rmr_s,1.3985477026237816
mean_NPP,under_gss_b2,1.388749251838216
mean_NPP,over_ko0,1.3675355845479062
mean_NPP,c3_pmax,1.3622129590292669
mean_NPP,tree_rgf,1.3551118757772853
mean_NPP,c3_f_sz_r,1.3472754813961414
mean_NPP,tree_km_nstl,1.3402654161494738
mean_NPP,c3_rgf,1.3096500062372856
mean_NPP,c3_tmin,1.3083941603802702
mean_NPP,under_gss_b1,1.2888001278083754
mean_NPP,tree_kmci,1.2694812209509152
mean_NPP,soil_f_hm_p,1.267138583070929
mean_NPP,c3_lr0,1.2528894055276665
mean_NPP,tree_rgr,1.2417147453208948
mean_NPP,tree_tmin,1.2376427792905649
mean_NPP,over_kc0,1.206145819319711
mean_NPP,tree_qtr0,1.2043210674626819
mean_NPP,tree_gs_b1,1.1636062463389434
mean_NPP,c3_topt,1.1527245291964032
mean_NPP,c3_tmax,1.1353375499673517
mean_NPP,soil_kmh,1.1352183976150418
mean_NPP,tree_lue,1.121959472071631
mean_NPP,c3_ctmp_lfdsp,1.1201026389053368
mean_NPP,tree_f_sz_s,1.1054530811904035
mean_NPP,tree_rmc_h,1.102254274328482
mean_NPP,soil_f_co2_lc,1.096527988301055
mean_NPP,over_photocap_n0,1.088774860612628
mean_NPP,tree_pmax,1.0862590074070568
mean_NPP,c3_rgr,1.0829971570902501
mean_NPP,under_nc_ct,1.0829586211703863
mean_NPP,c3_lue,1.0735929109339981
mean_NPP,over_gss_b2,1.0726810435421341
mean_NPP,tree_qtf0,1.0654491131849222
mean_NPP,over_acen_et,1.0644059434882562
mean_NPP,c3_alloc_abg,1.0630466650253252
mean_NPP,c3_gs_b2,1.062532444848043
mean_NPP,tree_lr0,1.0578090057569582
mean_NPP,tree_rmf0,1.0507892531411898
mean_NPP,soil_kmsl,1.048653116743164
mean_NPP,tree_qtc0,1.0478902262016696
mean_NPP,over_gss_b1,1.0478797945512672
mean_NPP,c3_root_spt_a,1.043377696344872
mean_NPP,tree_topt,1.0413492402666045
mean_NPP,tree_rgc,1.0412838096996266
mean_NPP,soil_albedo0,1.0398979883950306
mean_NPP,tree_rmr_h,1.0339667109237898
mean_NPP,c3_rmr_s,1.0277914540089983
mean_NPP,tree_rmc_s,1.022902545314207
mean_NPP,tree_ek0,1.0175918378192756
mean_NPP,tree_lf0,1.0169190819947407
mean_NPP,c3_root_spt_b,1.0095164627145803
mean_NPP,c3_ek0,1.0089968779823557
mean_NPP,c4_kmci,1.0087309905377773
mean_NPP,soil_kmsh,1.0000363644336272
mean_NPP,c3_lc0,0.9983428048017229
mean_NPP,soil_f_co2_lf,0.99282373578334
mean_NPP,tree_alloc_abg,0.9901557660127347
mean_NPP,tree_f_sz_r,0.9860330480419051
mean_NPP,over_gss_b0,0.9855718434272387
mean_NPP,over_spect,0.9826301823438197
mean_NPP,c3_rgc,0.9811768021890093
mean_NPP,soil_sr_hi,0.9717785354663251
mean_NPP,c3_kmci,0.9703547932723369
mean_NPP,over_jvr,0.9656347903987683
mean_NPP,tree_albedo,0.9654614248568156
mean_NPP,soil_f_co2_lr,0.9627534667434754
mean_NPP,soil_sr_hp,0.9582512703282839
mean_NPP,tree_ctmp_lfdsp,0.9472477005959299
mean_NPP,c3_cmpcd0,0.9467905234348624
mean_NPP,soil_sr_ha,0.9466769246986526
mean_NPP,c3_lf0,0.9435643963869256
mean_NPP,c4_cmpcd0,0.9360323012291922
mean_NPP,c3_rmf0,0.9314475519878878
mean_NPP,over_nc_ct,0.9250354931441689
mean_NPP,c3_km_nstl,0.9200831534273135
mean_NPP,soil_f_hm_a,0.9183767075827538
mean_NPP,tree_gs_b0,0.9071380884469153
mean_NPP,c3_albedo,0.8778155354633335
mean_NPP,c3_qtf0,0.8741441666172873
mean_NPP,over_cv_j,0.8671916724971005
mean_NPP,c3_rmc_s,0.8609172148289208
mean_NPP,c3_qtc0,0.8513750098280966
mean_NPP,over_acen_kc,0.8508965403385871
mean_NPP,tree_tmax,0.8489427204396875
mean_NPP,over_cv_p,0.8441224035488024
mean_NPP,over_ke_n,0.8400308145742952
mean_NPP,over_hc_et,0.820369124500508
mean_NPP,c3_sla,0.8089280397269263
mean_NPP,c3_gs_b1,0.7963350209209834
mean_NPP,over_acen_vc,0.7945616819185637
mean_NPP,c3_ctmp_lfshd,0.783182619292903
mean_NPP,c3_rmr_h,0.6766675826972888
mean_NPP,tree_root_spt_b,0.6728613564124388
mean_NPP,tree_gs_b2,0.6143573590416194
mean_NPP,soil_sr_lf,0.5283837592799339
mean_NPP,soil_sr_lc,0.4888945675000187
mean_NPP,over_scttr,0.48305519686207954
mean_NPP,soil_kml,0.469880878375317
mean_NPP,under_gss_b0,0.4541430494434553
mean_NPP,c3_rmc_h,0.45115194480207377
mean_NPP,over_str_et,0.4334149448695661
mean_NPP,tree_cmpcd0,0.40072598319106967
mean_NPP,soil_sr_lr,0.3585465637332539
mean_NPP,over_rfl_d,0.21281402425120932
